model,fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,best_epoch
logistic_regression,1,0.7847368421052632,0.7855332637629914,0.9415445813524789,0.7842653951834492,0.8557382831444822,0.8675494347495507,0.9633721814367194,0.4564183999041046,
decision_tree,1,0.8493421052631579,0.6317626759119039,0.8570063017772428,0.9781396476482949,0.9135751217118919,0.632662399763859,0.8566486458396002,0.6130659931534201,
random_forest,1,0.8957236842105263,0.8212765997604043,0.9326329296655707,0.9397931145951188,0.9361993318037274,0.9089475129403467,0.9726597579096415,0.3339662339286536,
xgboost,1,0.8497697368421052,0.8047929212806204,0.93499159374057,0.8763940520446096,0.9047450203358014,0.8879352171373646,0.9690015871522039,0.4333518220871279,
mlp,1,0.8105592105263157,0.8194821922458924,0.9549571134218219,0.8052771941166963,0.8737532060416073,0.9002451934180188,0.9724627943017963,0.41058783893246337,11.0
logistic_regression,2,0.7947958814434686,0.7916432127525462,0.9423545719611873,0.7966622216834364,0.8634054480161163,0.8730456394222624,0.9652708224624349,0.4473105235072506,
decision_tree,2,0.8538438764433041,0.6380114958711245,0.858981612446959,0.9816139330019801,0.9162124955211496,0.6392164000463172,0.858786475954477,0.601015510949424,
random_forest,2,0.8959505246883122,0.8237376474979875,0.9338318057565524,0.9386996403604477,0.9362593958446688,0.9117408192135837,0.9736345149797397,0.32931990151498,
xgboost,2,0.8500279614461002,0.8037916431913041,0.9343747310439797,0.8773992807208955,0.9049911430655413,0.8938340864467018,0.9710973259927586,0.4283417986369878,
mlp,2,0.814928122635613,0.8235989079977697,0.9561524881912304,0.809795126682022,0.8769089397453288,0.902595351296236,0.9729099832178125,0.3930057282019001,23.0
logistic_regression,3,0.7895792901549291,0.7863913350334599,0.9406454091432962,0.7914663218715907,0.8596317995304237,0.8681117513966192,0.9636368318725593,0.4540922786739269,
decision_tree,3,0.8503009769415479,0.6307107256358438,0.856552746787177,0.9802820315972363,0.9142501837092307,0.6307947790151408,0.8559999341569553,0.6072739826297041,
random_forest,3,0.8976349462188744,0.8257943904000696,0.9344953612594883,0.9401591983514486,0.9373187238156623,0.9095139081730896,0.9731215390831189,0.3323910876310184,
xgboost,3,0.8470445051149633,0.8007976946290223,0.9334857438640383,0.8744191684512506,0.9029875657181007,0.8876164640620992,0.9692697321418358,0.4316597097534541,
mlp,3,0.8222426893852176,0.8246102904298578,0.9544280009396289,0.820841246110954,0.8826085067558761,0.9033906436189049,0.9728689435280882,0.38620785972695315,25.0
